Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Piqora,https://www.crunchbase.com/organization/piqora,"Commerce and Shopping, Data and Analytics, Sales and Marketing","San Mateo, California, United States","Piqora helps commerce & marketing teams discover, amplify & merchandize shoppable user generated imagery (UGC) on e-commerce websites & Ads.","4,817",Jul 2012,Active,,For Profit,,,,,,,3,,3,M&A,"Apr 23, 2014","$7,700,000",Series A,"$7,700,000",Series A,"$11,200,000","$11,200,000",3,5,Was Acquired,Private,,,,
Virool,https://www.crunchbase.com/organization/virool,"Advertising, Media and Entertainment, Sales and Marketing, Video","San Francisco, California, United States",Virool is a programmatic video marketing platform.,"5,116","Mar 1, 2012",Active,,For Profit,,,,,,,2,101-250,5,M&A,"Aug 4, 2016",,Convertible Note,"$12,000,000",Series A,"$18,620,000","$18,620,000",,33,Was Acquired,Private,,,,
Box,https://www.crunchbase.com/organization/box,"Hardware, Internet Services, Software","Redwood City, California, United States","Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.","5,117",2005,Active,,For Profit,,,1,1,,,4,1001-5000,11,IPO,"Jul 1, 2014","$150,000,000",Series G,"$150,000,000",Series G,"$558,950,000","$558,950,000",5,24,Made Acquisitions,Public,"Jan 23, 2015",,"$1,670,000,000","$175,000,000"
Tremor Video,https://www.crunchbase.com/organization/tremor-video,"Advertising, Media and Entertainment, Sales and Marketing","New York, New York, United States",Tremor Video (NYSE: TRMR) is transforming the video advertising experience across all screens for the world’s leading brands.,"5,349",2005,Active,,For Profit,,,,,,,3,251-500,9,IPO,"Sep 12, 2011","$37,000,000",Venture - Series Unknown,"$37,000,000",Venture - Series Unknown,"$120,207,735","$120,207,735",6,11,Made Acquisitions,Public,"Jun 27, 2013",,"$494,000,000","$75,000,000"
"Kiwi, Inc.",https://www.crunchbase.com/organization/kiwi-inc,"Gaming, Mobile, Platforms, Software","Palo Alto, California, United States",Kiwi is a mobile entertainment company building mobile games and tools for the Android developer ecosystem.,"5,681","Aug 1, 2011",Active,,For Profit,,,,,,,2,51-100,2,M&A,"Aug 6, 2014","$15,000,000",Series B,"$15,000,000",Series B,"$21,000,000","$21,000,000",2,5,Was Acquired,Private,,,,
AdMob,https://www.crunchbase.com/organization/admob,"Advertising, Apps, Mobile, Sales and Marketing, Software","Mountain View, California, United States",AdMob is a mobile advertising network that helps app developers monetize and promote their mobile and tablet apps with ads.,"5,794","May 28, 2008",Active,,For Profit,,,,,,,1,,4,M&A,"Jan 29, 2009","$12,500,000",Series C,"$12,500,000",Series C,"$46,800,000","$46,800,000",3,8,"Made Acquisitions, Was Acquired",Private,,,,
Twin Prime,https://www.crunchbase.com/organization/twin-prime-inc,"Apps, Data and Analytics, Mobile, Software","Redwood City, California, United States","Twin Prime, a company that came out of stealth this week","6,054",2011,Active,,For Profit,,,,,,,2,11-50,1,M&A,"Mar 18, 2015","$9,500,000",Series A,"$9,500,000",Series A,"$9,500,000","$9,500,000",2,4,Was Acquired,Private,,,,
Z2,https://www.crunchbase.com/organization/z2,"Mobile, Software","Seattle, Washington, United States",Z2 is a mobile-first free-to-play game developer and publisher that allows players to compete and collaborate in real time.,"6,232",2008,Active,,For Profit,,,,,,,2,51-100,3,M&A,"Mar 30, 2011","$2,499,999",Series B,"$2,499,999",Series B,"$6,499,999","$6,499,999",1,2,Was Acquired,Private,,,,
EverSpin Technologies,https://www.crunchbase.com/organization/everspin-technologies,"Hardware, Manufacturing, Science and Engineering","Chandler, Arizona, United States",Everspin Technologies develops and manufactures integrated magnetic products.,"6,385","Aug 5, 2008",Active,,,,,,,,,,51-100,7,IPO,"Jan 26, 2015","$7,000,000",Series B,"$7,000,000",Series B,"$80,286,221","$80,286,221",,7,,Public,"Oct 7, 2016",,"$99,920,000","$40,000,000"
NanoString Technologies,https://www.crunchbase.com/organization/nanostring-technologies,"Biotechnology, Health Care, Science and Engineering","Seattle, Washington, United States","NanoString Technologies provides a life science tools platform for a variety of basic research, translational medicine and IVD applications.","6,799",2003,Active,,,,,,,,,3,251-500,11,IPO,"Jun 5, 2017","$56,000,000",Post-IPO Equity,"$56,000,000",Post-IPO Equity,"$148,750,000","$211,250,000",4,13,,Public,"Jul 5, 2013",,,"$54,000,000"
IZEA,https://www.crunchbase.com/organization/izea,"Advertising, Commerce and Shopping, Media and Entertainment, Sales and Marketing","Winter Park, Florida, United States",IZEA creates marketplaces that connect brands with influential content creators and publishers at-scale.,"8,075","Jun 29, 2006",Active,,For Profit,,,,,,,1,101-250,4,IPO,"Aug 17, 2015","$12,900,000",Post-IPO Equity,"$12,900,000",Post-IPO Equity,"$34,900,000","$34,900,000",2,5,Made Acquisitions,Public,"Jun 17, 2011",,,
Yodle,https://www.crunchbase.com/organization/yodle,"Advertising, Internet Services, Sales and Marketing, Software","New York, New York, United States","A leader in local online marketing, Yodle helps local businesses find and keep customers in the simplest, most profitable ways.","8,225","Mar 15, 2005",Active,,For Profit,,,,,,,5,1001-5000,5,M&A,"Feb 27, 2013","$5,000,000",Series E,"$5,000,000",Series E,"$40,000,002","$40,000,002",2,4,"Made Acquisitions, Was Acquired",Private,,,,
Oration,https://www.crunchbase.com/organization/oration,"Health Care, Internet Services, Software","Foster City, California, United States",Oration focuses on enabling large self Insured employers and state payers such as Medicaid to manage their healthcare,"8,413",2012,Active,,For Profit,,,,,,,2,11-50,3,M&A,"Dec 16, 2015","$11,200,000",Series A,"$11,200,000",Series A,"$12,200,000","$12,200,000",1,9,Was Acquired,Private,,,,
ACHICA,https://www.crunchbase.com/organization/achica,"Commerce and Shopping, Community and Lifestyle, Financial Services, Travel and Tourism","London, England, United Kingdom",ACHICA is an online members-only lifestyle store offering luxury brands at discounted prices.,"9,269","Feb 1, 2010",Active,,For Profit,,,,,,,2,51-100,4,M&A,"Jul 1, 2014",,Series C,,Series C,"£8,249,130","£8,249,130",,5,Was Acquired,Private,,,,
ContextWeb,https://www.crunchbase.com/organization/contextweb,"Advertising, Data and Analytics, Media and Entertainment, Sales and Marketing","New York, New York, United States",ContextWeb is a digital media services company providing real-time online ad performance data for businesses and brands.,"9,587",2000,Closed,,,,,,,,,1,101-250,5,M&A,"Sep 21, 2011","$10,000,000",Venture - Series Unknown,"$10,000,000",Venture - Series Unknown,"$63,500,000","$63,500,000",3,5,Was Acquired,Private,,,,
Lemon,https://www.crunchbase.com/organization/lemon,"Commerce and Shopping, Mobile","Palo Alto, California, United States","Lemon offers a digital wallet that organizes and stores IDs, credit cards, loyalty cards, receipts, coupons, and more.","9,912","Jul 11, 2011",Active,,For Profit,,,,,,,2,11-50,1,M&A,"Jun 12, 2012","$8,000,000",Series A,"$8,000,000",Series A,"$8,000,000","$8,000,000",1,5,Was Acquired,Private,,,,
PPTV,https://www.crunchbase.com/organization/pptv,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video","Shanghai, Shanghai, China","PPTV is a Chinese online video network technology platform that offers TV shows, news, and other content for entertainment.","9,984",2004,Active,,For Profit,,,,,,,1,,5,M&A,"Oct 28, 2013","$420,000,000",Private Equity,"$420,000,000",Private Equity,"$706,500,000","$706,500,000",2,7,Was Acquired,Private,,,,
Rover,https://www.crunchbase.com/organization/infoaxe,"Artificial Intelligence, Data and Analytics, Internet Services, Mobile, Platforms, Software","Sunnyvale, California, United States",Rover is a Personalized Content Recommendation Engine,"10,154",2007,Active,,For Profit,,,,,,,2,11-50,5,M&A,"Aug 8, 2016",,Venture - Series Unknown,,Venture - Series Unknown,"$5,400,000","$5,400,000",,10,Was Acquired,Private,,,,
Retailigence,https://www.crunchbase.com/organization/retailigence,"Advertising, Internet Services, Sales and Marketing, Software","Redwood City, California, United States",Retailigence is an online-to-offline marketing platform for driving product sales in-store.,"10,270",2009,Active,,For Profit,,,,,,,1,11-50,5,M&A,"Mar 5, 2013","$6,300,000",Series B,"$6,300,000",Series B,"$13,000,000","$13,000,000",1,15,Was Acquired,Private,,,,
NeoPhotonics,https://www.crunchbase.com/organization/neophotonics,"Hardware, Internet Services","San Jose, California, United States","NeoPhotonics offers optical components, modules and subsystems for the delivery of video, voice and data over telecommunication networks.","10,321",1997,Active,,For Profit,,,,,,,,1001-5000,7,IPO,"May 7, 2012","$39,783,240",Post-IPO Equity,"$39,783,240",Post-IPO Equity,"$229,673,840","$229,673,840",5,28,Made Acquisitions,Public,"Feb 2, 2011",,"$258,220,809","$82,500,000"
Silverpop,https://www.crunchbase.com/organization/silverpop,"Advertising, Sales and Marketing, Software","Atlanta, Georgia, United States",Silverpop is a digital marketing technology provider that offers email marketing and marketing automation solutions.,"10,441","Nov 1, 1999",Active,,For Profit,,,,,,,2,501-1000,5,M&A,"Apr 24, 2013","$25,000,000",Venture - Series Unknown,"$25,000,000",Venture - Series Unknown,"$96,449,000","$96,449,000",4,9,"Made Acquisitions, Was Acquired",Private,,,,
Xtime,https://www.crunchbase.com/organization/xtime,"Data and Analytics, Information Technology, Sales and Marketing, Software, Transportation","Redwood Shores, California, United States",Xtime is a provider of hosted customer relationship management (CRM) for automotive service departments in North America.,"10,446",1999,Active,,,,,,,,,1,251-500,8,M&A,"Mar 4, 2014",,Venture - Series Unknown,,Venture - Series Unknown,"$59,348,000","$59,348,000",2,10,Was Acquired,Private,,,,
SugarSync,https://www.crunchbase.com/organization/sugarsync,"Consumer Electronics, Hardware, Media and Entertainment, Mobile, Software","San Mateo, California, United States","SugarSync is a data sync, file sharing and online backup solution ideal for busy professionals and digitally-connected consumers.","11,163",2004,Active,,For Profit,,,,,,,2,51-100,9,M&A,"Nov 25, 2013","$6,500,000",Debt Financing,"$3,000,000",Venture - Series Unknown,"$57,514,000","$64,014,000",3,6,Was Acquired,Private,,,,
EdeniQ,https://www.crunchbase.com/organization/edeniq,"Agriculture and Farming, Biotechnology, Energy, Science and Engineering","Omaha, Nebraska, United States",Edeniq is a biomaterials and sustainable fuels innovator processing low-cost cellulosic sugars and ethanol.,"12,020",2008,Active,,,,,,,,,1,51-100,9,M&A,"Jun 19, 2017","$5,000,000",Venture - Series Unknown,"$5,000,000",Venture - Series Unknown,"$115,670,000","$123,670,000",6,17,Was Acquired,Private,,,,
Vivotech,https://www.crunchbase.com/organization/vivotech,"Financial Services, Hardware, Mobile, Payments, Software","Redwood City, California, United States","ViVOtech is an end-to-end enabler of next-generation NFC mobile payments, loyalty and marketing solutions.","12,477",2001,Active,,,,,,,,,3,51-100,8,M&A,"Mar 26, 2012",,Series D,,Series D,"$81,559,999","$81,559,999",2,10,Was Acquired,Private,,,,
Xfire,https://www.crunchbase.com/organization/xfire,Gaming,"Santa Monica, California, United States","Xfire provides social gaming and networking services, shares in-game screen shots and videos, and live-streams gameplay.","12,521",2002,Active,,For Profit,,,,,,,3,11-50,6,M&A,"May 21, 2012","$3,000,000",Venture - Series Unknown,"$3,000,000",Venture - Series Unknown,"$19,500,000","$19,500,000",4,10,Was Acquired,Private,,,,
Horizon Discovery,https://www.crunchbase.com/organization/horizon-discovery,"Biotechnology, Health Care, Science and Engineering","Cambridge, Cambridgeshire, United Kingdom","Horizon supplies genetically-defined cell lines, in vivo models, reference standards & contract research services to academia & biopharma","12,716",Jun 2007,Active,,For Profit,,,1,1,,,2,251-500,5,IPO,"Jun 3, 2013","£6,900,000",Series C,"£6,900,000",Series C,"$50,317,311","$50,317,311",2,13,Made Acquisitions,Public,"Mar 28, 2014",,,"£68,600,000"
Akana,https://www.crunchbase.com/organization/soa-software,"Information Technology, Internet Services, Privacy and Security, Software","Los Angeles, California, United States",Akana provides a comprehensive suite of API management/security.,"12,723",2001,Active,,For Profit,,,1,1,,1,1,51-100,3,M&A,"Mar 28, 2014","$10,000,000",Debt Financing,"$11,000,000",Series D,"$11,000,000","$21,000,000",1,7,"Made Acquisitions, Was Acquired",Private,,,,
Median Technologies,https://www.crunchbase.com/organization/median-technologies,Health Care,"Valbonne, Provence-Alpes-Cote d'Azur, France","MEDIAN Technologies develops medical imaging software and services dedicated to oncology clinical trials, screening, and clinical practice.","12,768",2002,Active,,For Profit,,,,,,,2,51-100,7,IPO,"Jul 3, 2015","€19,800,000",Private Equity,"€19,800,000",Private Equity,"€44,677,000","€44,677,000",1,4,,Public,"May 27, 2011",,,
Ember,https://www.crunchbase.com/organization/ember,"Hardware, Mobile, Science and Engineering","Boston, Massachusetts, United States","Ember provides wireless sensor and control network technologies, enabling energy efficiency improvements for various business institutions.","12,899",2001,Active,,For Profit,,,,,,,1,1001-5000,7,M&A,"Aug 29, 2017","$13,000,000",Series C,"$13,000,000",Series C,"$81,000,000","$86,000,000",3,24,Was Acquired,Private,,,,
Campanja,https://www.crunchbase.com/organization/campanja,"Advertising, Internet Services, Sales and Marketing","Stockholm, Stockholms Lan, Sweden",Campanja maintains a software platform that optimizes search engine marketing (SEM) campaigns.,"13,344","Jun 15, 2010",Active,,,,,,,,,2,11-50,2,M&A,"Feb 13, 2014","$5,000,000",Series A,"$5,000,000",Series A,"$5,000,000","$5,000,000",2,7,Was Acquired,Private,,,,
Mode Media,https://www.crunchbase.com/organization/glammedia,"Content and Publishing, Media and Entertainment, Video","Brisbane, California, United States",Mode is a consumer social platform for curated content discovery.,"13,423","Sep 1, 2003",Closed,"Sep 15, 2016",For Profit,,,,,,,5,251-500,11,M&A,"May 21, 2015","$30,000,000",Series G,"$30,000,000",Series G,"$224,600,000","$244,600,000",3,13,"Made Acquisitions, Was Acquired",Private,,,,
Spinal Modulation,https://www.crunchbase.com/organization/spinal-modulation,"Biotechnology, Health Care, Science and Engineering","Menlo Park, California, United States",Spinal Modulation is a medical device company developing spinal cord neurostimulator systems for the treatment of chronic intractable pain.,"13,465",2004,Active,,,,,,,,,1,51-100,5,M&A,"Jun 7, 2013","$45,000,000",Series E,"$45,000,000",Series E,"$109,400,000","$111,270,388",1,10,Was Acquired,Private,,,,
Fonality,https://www.crunchbase.com/organization/fonality,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Plano, Texas, United States",Fonality is a communications company that provides business phone systems as well as cloud-based VoIP and Unified Communications solutions.,"13,706",2004,Active,,For Profit,,,,,,,5,251-500,8,M&A,"Dec 29, 2016","$500,000",Debt Financing,"$14,382,902",Venture - Series Unknown,"$50,403,316","$52,903,316",3,8,Was Acquired,Private,,,,
BodyMedia,https://www.crunchbase.com/organization/bodymedia,"Consumer Electronics, Hardware, Health Care, Sports","Pittsburgh, Pennsylvania, United States","BodyMedia develops wearable on-body monitoring systems that collect physiological data to improve health, wellness and fitness.","13,939",1999,Active,,,,,,,,,1,51-100,8,M&A,"May 23, 2012","$12,000,000",Venture - Series Unknown,"$12,000,000",Venture - Series Unknown,"$34,050,000","$34,300,000",3,10,Was Acquired,Private,,,,
Newsle,https://www.crunchbase.com/organization/newsle,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Software","San Francisco, California, United States","Newsle is a web application that allows users to follow real news about their Facebook friends, LinkedIn contacts, and public figures.","13,965",2011,Active,,,,,,,,,2,1-10,4,M&A,"Nov 8, 2013","$200,000",Series A,"$200,000",Series A,"$4,299,997","$4,299,997",1,8,Was Acquired,Private,,,,
RethinkDB,https://www.crunchbase.com/organization/rethinkdb,"Data and Analytics, Software","Mountain View, California, United States",RethinkDB is an open-source distributed NoSQL database storing JSON documents and scaling data for applications.,"14,030","May 1, 2009",Closed,Oct 2016,For Profit,,,,,,,2,11-50,4,M&A,"Dec 16, 2013","$8,000,000",Series A,"$8,000,000",Series A,"$12,200,000","$12,200,000",1,16,Was Acquired,Private,,,,
Thumb,https://www.crunchbase.com/organization/opinionaided,"Data and Analytics, Design, Media and Entertainment, Mobile","New York, New York, United States",Thumb is a tool for giving and receiving opinions in real-time.,"14,214","May 1, 2010",Closed,,For Profit,,,,,,,3,11-50,3,M&A,"Jun 5, 2013","$500,578",Venture - Series Unknown,"$500,578",Venture - Series Unknown,"$6,000,578","$6,000,578",,10,Was Acquired,Private,,,,
Meebo,https://www.crunchbase.com/organization/meebo,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Mountain View, California, United States",Meebo is a consumer internet company that offers a social media platform to develop products for enhancing user engagement across the web.,"14,291","Feb 1, 2005",Active,,,,,,,,,3,101-250,5,M&A,"Dec 20, 2010","$27,500,000",Series D,"$27,500,000",Series D,"$70,000,000","$70,000,000",5,8,"Made Acquisitions, Was Acquired",Private,,,,
Gen9,https://www.crunchbase.com/organization/gen9,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States","Gen9 provides gene synthesis technology that enables the high-throughput, automated production of DNA constructs.","14,472",2009,Active,,,,,,,,,3,11-50,6,M&A,"Jul 30, 2014","$25,000,000",Private Equity,"$25,000,000",Private Equity,"$49,700,000","$50,095,000",,2,Was Acquired,Private,,,,
Technorati,https://www.crunchbase.com/organization/technorati,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing","San Francisco, California, United States",Technorati builds advertising platforms for high-level publishing firms.,"15,398","Jun 1, 2002",Active,,For Profit,,,,,,,1,11-50,7,M&A,"Oct 13, 2009","$2,000,000",Series D,"$2,000,000",Series D,"$32,100,000","$32,100,000",1,7,"Made Acquisitions, Was Acquired",Private,,,,
Vital Therapies,https://www.crunchbase.com/organization/vital-therapies,"Biotechnology, Health Care, Science and Engineering","San Diego, California, United States",Vital Therapies is a biotech company focused on developing a cell-based therapy targeting the treatment of acute liver failure.,"15,856",2003,Active,,For Profit,,,,,,,,51-100,9,IPO,"Mar 7, 2014","$13,928,129",Private Equity,"$13,928,129",Private Equity,"$187,117,385","$205,868,476",1,6,,Public,"Apr 17, 2014",,,"$89,000,000"
Redux,https://www.crunchbase.com/organization/redux,"Internet Services, Media and Entertainment, Video","Berkeley, California, United States",Redux delivers a lean-back TV experience programmed by curators and friends who share the same taste.,"16,115","Mar 1, 2007",Active,,,,,,,,,1,11-50,5,M&A,"Dec 11, 2012","$1,000,000",Venture - Series Unknown,"$1,000,000",Venture - Series Unknown,"$8,110,454","$8,110,454",2,3,Was Acquired,Private,,,,
Neul,https://www.crunchbase.com/organization/neul,"Hardware, Internet Services, Media and Entertainment, Mobile, Video","Cambridge, Cambridgeshire, United Kingdom",Neul develops wireless network technology to enable the use of TV white space spectrum.,"16,620",2010,Active,,,,,,,,,3,11-50,3,M&A,"Nov 7, 2012","£645,162",Venture - Series Unknown,"£645,162",Venture - Series Unknown,"$18,830,781","$18,830,781",1,5,Was Acquired,Private,,,,
Baidu,https://www.crunchbase.com/organization/baidu,Internet Services,"Beijing, Beijing, China",Baidu is a Chinese website and search engine that enables individuals to obtain information and find what they need.,"17,208","Oct 11, 1999",Active,,For Profit,,,58,65,34,8,2,10001+,3,IPO,"Jun 18, 2004","$15,000,000",Series C,"$15,000,000",Series C,"$26,200,000","$26,200,000",5,10,Made Acquisitions,Public,"Aug 5, 2005",,"$117,311,679","$109,090,854"
Vizu Corporation,https://www.crunchbase.com/organization/vizu,"Advertising, Internet Services, Sales and Marketing","San Francisco, California, United States",Vizu Corporation is an enterprise technology platform allowing advertisers to target audiences through the purchase funnel.,"17,656","Feb 14, 2005",Active,,,,,,,,,2,51-100,6,M&A,"Apr 9, 2012","$2,425,000",Series B,"$2,425,000",Series B,"$19,825,000","$19,825,000",1,9,Was Acquired,Private,,,,
ThinkVine,https://www.crunchbase.com/organization/thinkvine,"Data and Analytics, Media and Entertainment, Software","Cincinnati, Ohio, United States",ThinkVine provides marketing optimization software and services that enable B2C marketers to generate more marketing-driven sales.,"17,849",2000,Active,,For Profit,,,,,,,1,51-100,5,M&A,"May 25, 2014","$1,000,000",Series C,"$1,000,000",Series C,"$14,850,000","$14,850,000",3,8,Was Acquired,Private,,,,
Varolii,https://www.crunchbase.com/organization/varolii,"Financial Services, Hardware, Information Technology, Internet Services, Payments, Privacy and Security, Sales and Marketing, Software","Seattle, Washington, United States",Varolii provides cloud-based customer interaction management solutions that help organizations optimize their customer relations.,"17,879",1999,Active,,For Profit,,,,,,,1,251-500,3,M&A,"Apr 1, 2013","$3,000,000",Venture - Series Unknown,"$3,000,000",Venture - Series Unknown,"$26,000,000","$26,000,000",2,4,"Made Acquisitions, Was Acquired",Private,,,,
